"last_name, first_name","player_id","year","pitch_hand","arm_angle","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z_induced","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z_induced","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z_induced","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z_induced","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z_induced","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z_induced","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z_induced","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z_induced","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z_induced"
"Senga, Kodai",673540,2025,"R",44.9,"94.6","2382","-7.8","16.4","83.2","2486","1.7","1.7",,,,,"69.2","2453","4.2","-11.1","88.9","2205","-15.6","6.4","89.9","2473","-1.2","8.7",,,,,"79.6","2534","9","-2.1",,,,
"Quintana, Jose",500779,2025,"L",41.4,"90.2","2080","4.4","16",,,,,"85.4","1341","14.7","3.6","77.8","2183","-6.6","-6.6","90.3","2089","13.8","12.1",,,,,,,,,,,,,"78.3","2207","-10.7","-0.4"
"Cabrera, Edward",665795,2025,"R",35.6,"96.8","2318","-10.9","14.4","88.5","2531","1.4","2.3","93.8","1714","-17.6","4.5","83.6","2610","11.1","-10.6","96.6","2284","-17.2","9.6",,,,,,,,,,,,,,,,
"Flaherty, Jack",656427,2025,"R",27.5,"92.8","2233","-5.8","16","84.5","2395","6.5","2.5","85.8","1767","-14.1","7.1","77.6","2363","12.4","-8.9","90.6","2054","-14.3","8.4",,,,,,,,,,,,,,,,
"Brown, Hunter",686613,2025,"R",56.4,"96.9","2267","-7","17.3","90.7","2193","3.7","5.3","88.4","1523","-14.5","8.4","83.8","2587","5","-15.7","96","2178","-14.1","13.4","93.1","2297","3.6","7.8",,,,,,,,,,,,
"Elder, Bryce",693821,2025,"R",50.6,"92.2","2196","-3.7","14.8","84.4","2462","2","0.8","86.4","2067","-12.5","4.6",,,,,"91.4","2076","-14.4","8.2",,,,,,,,,,,,,,,,
"Castillo, Luis",622491,2025,"R",15.1,"95.2","2206","-13","12.7","84.6","2254","0.8","-0.7","87.6","1976","-18.1","-0.6",,,,,"95.1","2037","-19.1","3.9",,,,,,,,,,,,,,,,
"Morton, Charlie",450203,2025,"R",21.3,"94.1","2325","-11.7","12.6",,,,,"87.5","1829","-13.9","-3.3","81.4","3150","15.8","-9.1","93.9","2227","-17.9","4.3","88.3","2495","0.7","5.9",,,,,,,,,,,,
"Mahle, Tyler",641816,2025,"R",41.4,"92","2334","-10.8","18.5","83.4","2449","3.2","3",,,,,,,,,,,,,"85.3","2438","3.7","7.5","84.1","1733","-13.8","6.6",,,,,,,,
"Bassitt, Chris",605135,2025,"R",32.5,"91.4","2158","-5.7","12.1","81.9","2393","7.7","-0.8","83.5","1923","-17","4.3","71.2","2263","17","-11.8","91.4","2102","-16.4","4.9","88.1","2233","1.2","8.3","83.5","1334","-14.6","-0.6","72.7","2329","19.9","-0.6",,,,
"Crochet, Garrett",676979,2025,"L",34.3,"96.2","2466","8.2","16",,,,,"88.3","2011","15.3","7.9",,,,,"95.5","2409","16.5","7.6","91.1","2618","-3.9","7.1",,,,,"82.5","2410","-14.1","-2.5",,,,
"Roupp, Landen",694738,2025,"R",23.4,"92.3","2243","-8","10.7",,,,,"86.7","1827","-15.9","-2.5","76.7","3025","18.7","-6.7","92.7","2114","-18","3.2","90.3","2331","-2.8","8.3",,,,,,,,,,,,
"Valdez, Framber",664285,2025,"L",41.7,"93.5","2277","6.2","7.9","84.3","2563","-4","-3","89.8","1730","14.6","0.5","79.6","2964","-13.2","-14.9","94.3","2217","15.8","6.2",,,,,,,,,,,,,,,,
"Rodón, Carlos",607074,2025,"L",44.3,"94.4","2337","10.6","17.5","85.8","2647","-6.1","-1.4","85.1","1622","12.5","3.5","80","2695","-8","-14","92.2","2277","13.6","5.6","91.1","2257","0.9","10",,,,,,,,,,,,
"Pallante, Andre",669467,2025,"R",57.5,"94.4","2296","-0.5","10.1","87.7","2403","5","-0.5",,,,,"78","2815","4.4","-16.5","94.9","2193","-10.5","13.7",,,,,,,,,,,,,,,,
"Smith, Shane",681343,2025,"R",33,"95.3","2306","-6","13.7","89.2","2215","2.8","3.2","90","1621","-14.6","0.8","81.5","2327","7.7","-12.4","95.1","2159","-14.9","9.7",,,,,,,,,"88.1","2150","12.6","8.8",,,,
"Peralta, Freddy",642547,2025,"R",38.4,"94.9","2450","-4.6","16.8","84.1","2505","6.3","5.4","89.2","1881","-16.6","3.7","79.9","2378","5.2","-5.8",,,,,,,,,,,,,,,,,,,,
"Mikolas, Miles",571945,2025,"R",42,"92.3","2212","-8","14.8","87.1","2259","2.8","7","85.2","1649","-15","5.9","75.3","2555","9.3","-14.9","91.7","2127","-15.7","8.6",,,,,,,,,"80.3","2441","12.4","-1.6",,,,
"Leiter, Jack",683004,2025,"R",46,"97.4","2406","-8.6","17.4","87.7","2556","4","0.9","90.8","1539","-14.5","2.1","81.5","2590","6.9","-10.2","96.5","2347","-13.8","15.1",,,,,,,,,,,,,,,,
"Taillon, Jameson",592791,2025,"R",46.5,"92.3","2324","-7.7","18.4",,,,,"84.4","1743","-16","8.1","79.7","2580","9.6","-9.1","92.4","2213","-13.6","14.6","86","2506","6.2","9.1",,,,,"80.3","2709","15.7","-0.2",,,,
"Bradley, Taj",671737,2025,"R",53.4,"96.2","2301","-7.1","17.9",,,,,,,,,"81.6","2583","4.4","-14.9",,,,,"89.9","2195","3.8","5.8","91.3","1723","-13","8.6",,,,,,,,
"Boyd, Matthew",571510,2025,"L",24.8,"93.3","2311","13.1","13.2","81.5","2486","-3.1","-0.4","78.9","1821","15.9","5.6","73.7","2344","-12.3","-9","91.8","2269","17","9.1",,,,,,,,,,,,,,,,
"Dollander, Chase",801403,2025,"R",26.6,"97.7","2421","-11.2","12.6","86.7","2678","6.4","-0.7","88.9","2088","-15.8","4.5","78.9","2802","14.1","-7.5","96.9","2413","-15.4","4.8","89.5","2550","4.2","4.1",,,,,,,,,,,,
"Williams, Trevor",592866,2025,"R",16.4,"87.7","2219","-2.2","10.1","80.8","2225","5.8","4","81.3","1486","-13.7","0.4",,,,,"86.6","1937","-13.8","4.5",,,,,,,,,"76.8","2226","10.4","7.3",,,,
"Suárez, Ranger",624133,2025,"L",37.6,"91.8","1938","6","11.5","82.3","2127","-5","3.7","79.9","1290","10.9","2.6","74.1","2119","-11.3","-8.5","90.5","1969","15.8","5","86.8","2114","-2.7","5.7",,,,,,,,,,,,
"Spence, Mitch",687765,2025,"R",43.6,,,,,"84.6","2760","13.7","2.2","87.8","1579","-8.3","3.5","81.8","2802","10.3","-10.4","92.6","2373","-7.3","3.7","91.1","2685","4","4.4",,,,,,,,,,,,
"May, Dustin",669160,2025,"R",19,"95.4","2349","-11.2","12.5",,,,,,,,,,,,,"94.5","2424","-18.5","4.8","92.2","2523","-1.6","6.7",,,,,"85.2","3197","16.8","-2",,,,
"deGrom, Jacob",594798,2025,"R",30.7,"97.4","2516","-9.2","16.5","89.8","2705","5","1.9","89.4","1682","-14","2.5","80.4","2735","10.1","-4.8",,,,,,,,,,,,,,,,,,,,
